"","Date","# of cases","# of deaths","State","2019"
"625",2020-03-25,4402,NA,"NJ",8882190
"626",2020-03-26,6876,NA,"NJ",8882190
"627",2020-03-27,8825,NA,"NJ",8882190
"628",2020-03-28,11124,NA,"NJ",8882190
"629",2020-03-29,13386,NA,"NJ",8882190
"630",2020-03-11,4,0,"NM",2096829
"631",2020-03-12,6,0,"NM",2096829
"632",2020-03-13,10,0,"NM",2096829
"633",2020-03-14,13,0,"NM",2096829
"634",2020-03-15,17,0,"NM",2096829
"635",2020-03-16,21,0,"NM",2096829
"636",2020-03-17,23,0,"NM",2096829
"637",2020-03-18,28,0,"NM",2096829
"638",2020-03-19,35,0,"NM",2096829
"639",2020-03-20,43,0,"NM",2096829
"640",2020-03-21,57,0,"NM",2096829
"641",2020-03-22,65,0,"NM",2096829
"642",2020-03-23,83,0,"NM",2096829
"643",2020-03-24,100,0,"NM",2096829
"644",2020-03-25,112,1,"NM",2096829
"645",2020-03-26,136,1,"NM",2096829
"646",2020-03-27,191,1,"NM",2096829
"647",2020-03-28,208,2,"NM",2096829
"648",2020-03-01,1,0,"NY",19453561
"649",2020-03-02,1,0,"NY",19453561
"650",2020-03-03,2,0,"NY",19453561
"651",2020-03-04,11,0,"NY",19453561
"652",2020-03-05,22,0,"NY",19453561
"653",2020-03-06,44,0,"NY",19453561
"654",2020-03-07,89,0,"NY",19453561
"655",2020-03-08,105,0,"NY",19453561
"656",2020-03-09,142,0,"NY",19453561
"657",2020-03-10,173,0,"NY",19453561
"658",2020-03-11,216,0,"NY",19453561
"659",2020-03-12,325,0,"NY",19453561
"660",2020-03-13,421,0,"NY",19453561
"661",2020-03-14,613,2,"NY",19453561
"662",2020-03-15,729,3,"NY",19453561
"663",2020-03-16,950,7,"NY",19453561
"664",2020-03-17,1374,12,"NY",19453561
"665",2020-03-18,2480,16,"NY",19453561
"666",2020-03-19,5711,38,"NY",19453561
"667",2020-03-20,8402,46,"NY",19453561
"668",2020-03-21,10356,58,"NY",19453561
"669",2020-03-22,15168,76,"NY",19453561
"670",2020-03-23,20875,157,"NY",19453561
"671",2020-03-24,25665,271,"NY",19453561
"672",2020-03-25,30811,285,"NY",19453561
"673",2020-03-26,37258,385,"NY",19453561
"674",2020-03-27,44635,519,"NY",19453561
"675",2020-03-28,52318,728,"NY",19453561
"676",2020-03-29,59513,965,"NY",19453561
"677",2020-03-08,2,NA,"NC",10488084
"678",2020-03-09,7,NA,"NC",10488084
"679",2020-03-10,7,NA,"NC",10488084
"680",2020-03-11,8,NA,"NC",10488084
"681",2020-03-12,15,NA,"NC",10488084
"682",2020-03-13,15,NA,"NC",10488084
"683",2020-03-14,23,NA,"NC",10488084
"684",2020-03-15,32,NA,"NC",10488084
"685",2020-03-16,33,NA,"NC",10488084
"686",2020-03-17,40,NA,"NC",10488084
"687",2020-03-18,63,NA,"NC",10488084
"688",2020-03-19,97,NA,"NC",10488084
"689",2020-03-20,137,NA,"NC",10488084
"690",2020-03-21,184,NA,"NC",10488084
"691",2020-03-22,255,NA,"NC",10488084
"692",2020-03-23,297,NA,"NC",10488084
"693",2020-03-24,398,NA,"NC",10488084
"694",2020-03-25,504,NA,"NC",10488084
"695",2020-03-26,636,NA,"NC",10488084
"696",2020-03-27,763,NA,"NC",10488084
"697",2020-03-28,935,NA,"NC",10488084
"698",2020-03-11,1,0,"ND",762062
"699",2020-03-12,1,0,"ND",762062
"700",2020-03-13,1,0,"ND",762062
"701",2020-03-14,1,0,"ND",762062
"702",2020-03-15,1,0,"ND",762062
"703",2020-03-16,1,0,"ND",762062
"704",2020-03-17,5,0,"ND",762062
"705",2020-03-18,7,0,"ND",762062
"706",2020-03-21,28,0,"ND",762062
"707",2020-03-22,30,0,"ND",762062
"708",2020-03-24,34,0,"ND",762062
"709",2020-03-25,45,0,"ND",762062
"710",2020-03-26,58,0,"ND",762062
"711",2020-03-27,68,1,"ND",762062
"712",2020-03-28,94,1,"ND",762062
"713",2020-03-29,98,1,"ND",762062
"714",2020-03-09,NA,0,"OH",11689100
"715",2020-03-11,NA,0,"OH",11689100
"716",2020-03-12,NA,0,"OH",11689100
"717",2020-03-13,NA,0,"OH",11689100
"718",2020-03-14,NA,0,"OH",11689100
"719",2020-03-15,NA,0,"OH",11689100
"720",2020-03-16,NA,0,"OH",11689100
"721",2020-03-17,NA,0,"OH",11689100
"722",2020-03-18,NA,0,"OH",11689100
"723",2020-03-19,NA,0,"OH",11689100
"724",2020-03-20,NA,1,"OH",11689100
"725",2020-03-21,NA,3,"OH",11689100
"726",2020-03-22,NA,3,"OH",11689100
"727",2020-03-23,NA,6,"OH",11689100
"728",2020-03-24,NA,8,"OH",11689100
"729",2020-03-25,NA,10,"OH",11689100
"730",2020-03-26,NA,15,"OH",11689100
"731",2020-03-27,NA,19,"OH",11689100
"732",2020-03-28,NA,25,"OH",11689100
"733",2020-03-29,NA,29,"OH",11689100
"734",2020-03-07,1,0,"OK",3956971
"735",2020-03-10,2,0,"OK",3956971
"736",2020-03-13,3,0,"OK",3956971
"737",2020-03-14,4,0,"OK",3956971
"738",2020-03-15,7,0,"OK",3956971
"739",2020-03-16,10,0,"OK",3956971
"740",2020-03-17,17,0,"OK",3956971
"741",2020-03-18,29,0,"OK",3956971
"742",2020-03-19,44,1,"OK",3956971
"743",2020-03-20,49,1,"OK",3956971
"744",2020-03-21,53,1,"OK",3956971
"745",2020-03-22,67,2,"OK",3956971
"746",2020-03-23,81,2,"OK",3956971
"747",2020-03-24,106,3,"OK",3956971
"748",2020-03-25,164,5,"OK",3956971
"749",2020-03-26,248,7,"OK",3956971
"750",2020-03-27,322,8,"OK",3956971
"751",2020-03-28,377,15,"OK",3956971
"752",2020-03-29,429,16,"OK",3956971
"753",2020-02-28,1,NA,"OR",4217737
"754",2020-02-29,1,NA,"OR",4217737
"755",2020-03-01,2,NA,"OR",4217737
"756",2020-03-02,3,NA,"OR",4217737
"757",2020-03-03,3,NA,"OR",4217737
"758",2020-03-04,3,NA,"OR",4217737
"759",2020-03-05,3,NA,"OR",4217737
"760",2020-03-06,3,NA,"OR",4217737
"761",2020-03-07,7,NA,"OR",4217737
"762",2020-03-08,14,NA,"OR",4217737
"763",2020-03-09,14,NA,"OR",4217737
"764",2020-03-10,15,NA,"OR",4217737
"765",2020-03-11,21,NA,"OR",4217737
"766",2020-03-12,22,NA,"OR",4217737
"767",2020-03-13,30,NA,"OR",4217737
"768",2020-03-14,36,NA,"OR",4217737
"769",2020-03-15,39,NA,"OR",4217737
"770",2020-03-16,47,NA,"OR",4217737
"771",2020-03-17,65,NA,"OR",4217737
"772",2020-03-18,75,NA,"OR",4217737
"773",2020-03-19,88,NA,"OR",4217737
"774",2020-03-20,114,NA,"OR",4217737
"775",2020-03-21,137,NA,"OR",4217737
"776",2020-03-22,161,NA,"OR",4217737
"777",2020-03-23,191,NA,"OR",4217737
"778",2020-03-24,209,NA,"OR",4217737
"779",2020-03-25,266,NA,"OR",4217737
"780",2020-03-26,316,NA,"OR",4217737
"781",2020-03-27,414,NA,"OR",4217737
"782",2020-03-28,479,NA,"OR",4217737
"783",2020-03-29,548,NA,"OR",4217737
"784",2020-03-06,2,NA,"PA",12801989
"785",2020-03-07,4,NA,"PA",12801989
"786",2020-03-08,6,NA,"PA",12801989
"787",2020-03-09,10,NA,"PA",12801989
"788",2020-03-10,12,NA,"PA",12801989
"789",2020-03-11,16,NA,"PA",12801989
"790",2020-03-12,22,NA,"PA",12801989
"791",2020-03-13,41,NA,"PA",12801989
"792",2020-03-14,47,NA,"PA",12801989
"793",2020-03-15,63,NA,"PA",12801989
"794",2020-03-16,76,NA,"PA",12801989
"795",2020-03-17,96,NA,"PA",12801989
"796",2020-03-18,133,NA,"PA",12801989
"797",2020-03-19,185,NA,"PA",12801989
"798",2020-03-20,268,NA,"PA",12801989
"799",2020-03-21,371,NA,"PA",12801989
"800",2020-03-22,479,NA,"PA",12801989
"801",2020-03-23,644,NA,"PA",12801989
"802",2020-03-24,851,NA,"PA",12801989
"803",2020-03-25,1127,NA,"PA",12801989
"804",2020-03-26,1687,NA,"PA",12801989
"805",2020-03-27,2218,NA,"PA",12801989
"806",2020-03-28,2751,NA,"PA",12801989
"807",2020-03-07,2,0,"RI",1059361
"808",2020-03-09,3,0,"RI",1059361
"809",2020-03-10,5,0,"RI",1059361
"810",2020-03-11,5,0,"RI",1059361
"811",2020-03-12,5,0,"RI",1059361
"812",2020-03-13,14,0,"RI",1059361
"813",2020-03-14,20,0,"RI",1059361
"814",2020-03-15,20,0,"RI",1059361
"815",2020-03-16,21,0,"RI",1059361
"816",2020-03-18,33,0,"RI",1059361
"817",2020-03-20,44,0,"RI",1059361
"818",2020-03-21,66,0,"RI",1059361
"819",2020-03-22,83,0,"RI",1059361
"820",2020-03-23,106,0,"RI",1059361
"821",2020-03-25,132,0,"RI",1059361
"822",2020-03-26,165,0,"RI",1059361
"823",2020-03-27,203,0,"RI",1059361
"824",2020-03-28,239,2,"RI",1059361
"825",2020-03-29,295,3,"RI",1059361
"826",2020-03-07,2,0,"SC",5148714
"827",2020-03-08,6,0,"SC",5148714
"828",2020-03-09,7,0,"SC",5148714
"829",2020-03-10,9,0,"SC",5148714
"830",2020-03-11,10,0,"SC",5148714
"831",2020-03-12,12,0,"SC",5148714
"832",2020-03-13,13,0,"SC",5148714
"833",2020-03-14,19,0,"SC",5148714
"834",2020-03-15,28,0,"SC",5148714
"835",2020-03-16,33,1,"SC",5148714
"836",2020-03-17,47,0,"SC",5148714
"837",2020-03-18,60,0,"SC",5148714
"838",2020-03-19,80,0,"SC",5148714
"839",2020-03-20,125,3,"SC",5148714
"840",2020-03-21,173,0,"SC",5148714
"841",2020-03-22,195,0,"SC",5148714
"842",2020-03-23,298,5,"SC",5148714
"843",2020-03-24,342,7,"SC",5148714
"844",2020-03-25,424,8,"SC",5148714
"845",2020-03-26,456,9,"SC",5148714
"846",2020-03-27,539,13,"SC",5148714
"847",2020-03-28,660,15,"SC",5148714
"848",2020-03-29,774,16,"SC",5148714
"849",2020-03-10,5,0,"SD",884659
"850",2020-03-11,8,0,"SD",884659
"851",2020-03-13,9,0,"SD",884659
"852",2020-03-14,9,0,"SD",884659
"853",2020-03-15,9,0,"SD",884659
"854",2020-03-16,10,0,"SD",884659
"855",2020-03-17,11,0,"SD",884659
"856",2020-03-18,11,1,"SD",884659
"857",2020-03-19,14,1,"SD",884659
"858",2020-03-21,14,1,"SD",884659
"859",2020-03-22,21,1,"SD",884659
"860",2020-03-23,28,1,"SD",884659
"861",2020-03-24,30,1,"SD",884659
"862",2020-03-25,41,1,"SD",884659
"863",2020-03-26,46,1,"SD",884659
"864",2020-03-27,58,1,"SD",884659
"865",2020-03-28,68,1,"SD",884659
"866",2020-03-29,90,1,"SD",884659
"867",2020-03-08,3,0,"TN",6829174
"868",2020-03-09,4,0,"TN",6829174
"869",2020-03-10,7,0,"TN",6829174
"870",2020-03-11,9,0,"TN",6829174
"871",2020-03-12,18,0,"TN",6829174
"872",2020-03-13,26,0,"TN",6829174
"873",2020-03-14,32,0,"TN",6829174
"874",2020-03-15,39,0,"TN",6829174
"875",2020-03-16,52,0,"TN",6829174
"876",2020-03-17,73,0,"TN",6829174
"877",2020-03-18,98,0,"TN",6829174
"878",2020-03-19,154,0,"TN",6829174
"879",2020-03-20,228,0,"TN",6829174
"880",2020-03-21,371,0,"TN",6829174
"881",2020-03-22,505,0,"TN",6829174
"882",2020-03-23,615,0,"TN",6829174
"883",2020-03-24,667,2,"TN",6829174
"884",2020-03-25,784,3,"TN",6829174
"885",2020-03-26,957,3,"TN",6829174
"886",2020-03-27,1203,6,"TN",6829174
"887",2020-03-28,1373,6,"TN",6829174
"888",2020-03-29,1537,7,"TN",6829174
"889",2020-03-07,8,0,"TX",28995881
"890",2020-03-09,12,0,"TX",28995881
"891",2020-03-10,13,0,"TX",28995881
"892",2020-03-11,21,0,"TX",28995881
"893",2020-03-12,23,0,"TX",28995881
"894",2020-03-13,39,0,"TX",28995881
"895",2020-03-14,51,0,"TX",28995881
"896",2020-03-15,56,0,"TX",28995881
"897",2020-03-16,57,0,"TX",28995881
"898",2020-03-17,64,1,"TX",28995881
"899",2020-03-18,83,2,"TX",28995881
"900",2020-03-19,143,3,"TX",28995881
"901",2020-03-20,194,5,"TX",28995881
"902",2020-03-21,304,5,"TX",28995881
"903",2020-03-22,334,5,"TX",28995881
"904",2020-03-23,352,8,"TX",28995881
"905",2020-03-24,715,11,"TX",28995881
"906",2020-03-25,974,12,"TX",28995881
"907",2020-03-26,1396,18,"TX",28995881
"908",2020-03-27,1731,23,"TX",28995881
"909",2020-03-28,2052,27,"TX",28995881
"910",2020-03-29,2552,34,"TX",28995881
"911",2020-03-06,1,NA,"UT",3205958
"912",2020-03-07,1,NA,"UT",3205958
"913",2020-03-08,1,NA,"UT",3205958
"914",2020-03-09,1,NA,"UT",3205958
"915",2020-03-10,2,NA,"UT",3205958
"916",2020-03-11,3,NA,"UT",3205958
"917",2020-03-12,5,NA,"UT",3205958
"918",2020-03-13,9,NA,"UT",3205958
"919",2020-03-14,10,NA,"UT",3205958
"920",2020-03-15,28,NA,"UT",3205958
"921",2020-03-16,39,NA,"UT",3205958
"922",2020-03-17,51,NA,"UT",3205958
"923",2020-03-18,63,NA,"UT",3205958
"924",2020-03-19,78,NA,"UT",3205958
"925",2020-03-20,112,NA,"UT",3205958
"926",2020-03-21,136,NA,"UT",3205958
"927",2020-03-22,181,NA,"UT",3205958
"928",2020-03-23,257,NA,"UT",3205958
"929",2020-03-24,298,NA,"UT",3205958
"930",2020-03-25,346,NA,"UT",3205958
"931",2020-03-26,402,NA,"UT",3205958
"932",2020-03-27,480,NA,"UT",3205958
"933",2020-03-28,602,NA,"UT",3205958
"934",2020-03-29,719,NA,"UT",3205958
"935",2020-03-07,1,0,"VT",623989
"936",2020-03-08,1,0,"VT",623989
"937",2020-03-09,1,0,"VT",623989
"938",2020-03-10,1,0,"VT",623989
"939",2020-03-11,1,0,"VT",623989
"940",2020-03-12,2,0,"VT",623989
"941",2020-03-13,2,0,"VT",623989
"942",2020-03-14,4,0,"VT",623989
"943",2020-03-15,8,0,"VT",623989
"944",2020-03-16,12,0,"VT",623989
"945",2020-03-17,17,0,"VT",623989
"946",2020-03-18,19,0,"VT",623989
"947",2020-03-19,22,2,"VT",623989
"948",2020-03-20,29,2,"VT",623989
"949",2020-03-21,49,2,"VT",623989
"950",2020-03-22,52,2,"VT",623989
"951",2020-03-23,75,5,"VT",623989
"952",2020-03-24,95,7,"VT",623989
"953",2020-03-25,123,8,"VT",623989
"954",2020-03-26,158,9,"VT",623989
"955",2020-03-27,184,10,"VT",623989
"956",2020-03-28,211,12,"VT",623989
"957",2020-03-29,235,12,"VT",623989
"958",2020-03-07,1,0,"VA",8535519
"959",2020-03-08,2,0,"VA",8535519
"960",2020-03-09,5,0,"VA",8535519
"961",2020-03-10,8,0,"VA",8535519
"962",2020-03-11,10,0,"VA",8535519
"963",2020-03-12,17,0,"VA",8535519
"964",2020-03-13,30,0,"VA",8535519
"965",2020-03-14,41,1,"VA",8535519
"966",2020-03-15,45,1,"VA",8535519
"967",2020-03-16,51,2,"VA",8535519
"968",2020-03-17,67,2,"VA",8535519
"969",2020-03-18,77,2,"VA",8535519
"970",2020-03-19,94,2,"VA",8535519
"971",2020-03-20,114,2,"VA",8535519
"972",2020-03-21,152,2,"VA",8535519
"973",2020-03-22,220,3,"VA",8535519
"974",2020-03-23,254,6,"VA",8535519
"975",2020-03-24,290,9,"VA",8535519
"976",2020-03-25,391,9,"VA",8535519
"977",2020-03-26,460,13,"VA",8535519
"978",2020-03-27,615,15,"VA",8535519
"979",2020-03-28,739,18,"VA",8535519
"980",2020-03-29,890,22,"VA",8535519
"981",2020-02-27,1,NA,"WA",7614893
"982",2020-02-28,3,NA,"WA",7614893
"983",2020-02-29,6,NA,"WA",7614893
"984",2020-03-01,13,NA,"WA",7614893
"985",2020-03-02,18,NA,"WA",7614893
"986",2020-03-03,28,NA,"WA",7614893
"987",2020-03-04,39,NA,"WA",7614893
"988",2020-03-05,70,NA,"WA",7614893
"989",2020-03-06,80,NA,"WA",7614893
"990",2020-03-07,102,NA,"WA",7614893
"991",2020-03-08,136,NA,"WA",7614893
"992",2020-03-09,162,NA,"WA",7614893
"993",2020-03-10,267,NA,"WA",7614893
"994",2020-03-11,366,NA,"WA",7614893
"995",2020-03-12,457,NA,"WA",7614893
"996",2020-03-13,568,NA,"WA",7614893
"997",2020-03-14,642,NA,"WA",7614893
"998",2020-03-15,769,NA,"WA",7614893
"999",2020-03-16,904,NA,"WA",7614893
"1000",2020-03-17,1012,NA,"WA",7614893
"1001",2020-03-18,1187,NA,"WA",7614893
"1002",2020-03-19,1376,NA,"WA",7614893
"1003",2020-03-20,1524,NA,"WA",7614893
"1004",2020-03-21,1793,NA,"WA",7614893
"1005",2020-03-22,1996,NA,"WA",7614893
"1006",2020-03-23,2221,NA,"WA",7614893
"1007",2020-03-24,2469,NA,"WA",7614893
"1008",2020-03-25,2580,NA,"WA",7614893
"1009",2020-03-26,3207,NA,"WA",7614893
"1010",2020-03-27,3723,NA,"WA",7614893
"1011",2020-03-28,4310,NA,"WA",7614893
"1012",2020-03-29,4896,NA,"WA",7614893
"1013",2020-03-07,1,NA,"Washington, D.C.",705749
"1014",2020-03-08,1,NA,"Washington, D.C.",705749
"1015",2020-03-09,5,NA,"Washington, D.C.",705749
"1016",2020-03-10,5,NA,"Washington, D.C.",705749
"1017",2020-03-11,10,NA,"Washington, D.C.",705749
"1018",2020-03-13,10,NA,"Washington, D.C.",705749
"1019",2020-03-14,16,NA,"Washington, D.C.",705749
"1020",2020-03-15,17,NA,"Washington, D.C.",705749
"1021",2020-03-16,22,NA,"Washington, D.C.",705749
"1022",2020-03-17,31,NA,"Washington, D.C.",705749
"1023",2020-03-18,39,NA,"Washington, D.C.",705749
"1024",2020-03-19,71,NA,"Washington, D.C.",705749
"1025",2020-03-21,98,NA,"Washington, D.C.",705749
"1026",2020-03-22,116,NA,"Washington, D.C.",705749
"1027",2020-03-23,137,NA,"Washington, D.C.",705749
"1028",2020-03-24,183,NA,"Washington, D.C.",705749
"1029",2020-03-25,231,NA,"Washington, D.C.",705749
"1030",2020-03-26,267,NA,"Washington, D.C.",705749
"1031",2020-03-27,304,NA,"Washington, D.C.",705749
"1032",2020-03-28,342,NA,"Washington, D.C.",705749
"1033",2020-03-16,1,NA,"WV",1792147
"1034",2020-03-17,1,NA,"WV",1792147
"1035",2020-03-18,2,NA,"WV",1792147
"1036",2020-03-19,5,NA,"WV",1792147
"1037",2020-03-20,8,NA,"WV",1792147
"1038",2020-03-21,11,NA,"WV",1792147
"1039",2020-03-22,12,NA,"WV",1792147
"1040",2020-03-23,20,NA,"WV",1792147
"1041",2020-03-24,39,NA,"WV",1792147
"1042",2020-03-25,51,NA,"WV",1792147
"1043",2020-03-26,76,NA,"WV",1792147
"1044",2020-03-27,96,NA,"WV",1792147
"1045",2020-03-28,113,NA,"WV",1792147
"1046",2020-03-29,124,NA,"WV",1792147
"1047",2020-02-05,1,NA,"WI",5822434
"1048",2020-03-09,2,NA,"WI",5822434
"1049",2020-03-10,3,NA,"WI",5822434
"1050",2020-03-11,6,NA,"WI",5822434
"1051",2020-03-12,8,NA,"WI",5822434
"1052",2020-03-13,19,NA,"WI",5822434
"1053",2020-03-14,27,NA,"WI",5822434
"1054",2020-03-15,33,NA,"WI",5822434
"1055",2020-03-16,47,NA,"WI",5822434
"1056",2020-03-17,72,NA,"WI",5822434
"1057",2020-03-18,106,NA,"WI",5822434
"1058",2020-03-19,155,NA,"WI",5822434
"1059",2020-03-20,206,NA,"WI",5822434
"1060",2020-03-21,281,NA,"WI",5822434
"1061",2020-03-22,381,NA,"WI",5822434
"1062",2020-03-23,416,NA,"WI",5822434
"1063",2020-03-24,457,NA,"WI",5822434
"1064",2020-03-25,585,NA,"WI",5822434
"1065",2020-03-26,707,NA,"WI",5822434
"1066",2020-03-27,842,NA,"WI",5822434
"1067",2020-03-28,989,NA,"WI",5822434
"1068",2020-03-11,1,0,"WY",578759
"1069",2020-03-13,2,0,"WY",578759
"1070",2020-03-14,3,0,"WY",578759
"1071",2020-03-16,10,0,"WY",578759
"1072",2020-03-17,11,0,"WY",578759
"1073",2020-03-18,18,0,"WY",578759
"1074",2020-03-19,18,0,"WY",578759
"1075",2020-03-20,20,0,"WY",578759
"1076",2020-03-21,23,0,"WY",578759
"1077",2020-03-22,26,0,"WY",578759
"1078",2020-03-23,28,0,"WY",578759
"1079",2020-03-24,33,0,"WY",578759
"1080",2020-03-25,49,0,"WY",578759
"1081",2020-03-26,56,0,"WY",578759
"1082",2020-03-27,70,0,"WY",578759
"1083",2020-03-28,84,0,"WY",578759
