"","Date","# of cases","# of deaths","State","2019"
"628",2020-03-08,4,0,"NH",1359711
"629",2020-03-09,4,0,"NH",1359711
"630",2020-03-10,5,0,"NH",1359711
"631",2020-03-11,5,0,"NH",1359711
"632",2020-03-12,6,0,"NH",1359711
"633",2020-03-14,7,0,"NH",1359711
"634",2020-03-15,13,0,"NH",1359711
"635",2020-03-16,17,0,"NH",1359711
"636",2020-03-17,26,0,"NH",1359711
"637",2020-03-18,39,0,"NH",1359711
"638",2020-03-19,44,0,"NH",1359711
"639",2020-03-20,55,0,"NH",1359711
"640",2020-03-21,65,0,"NH",1359711
"641",2020-03-22,78,0,"NH",1359711
"642",2020-03-23,101,0,"NH",1359711
"643",2020-03-24,108,1,"NH",1359711
"644",2020-03-25,137,1,"NH",1359711
"645",2020-03-27,187,2,"NH",1359711
"646",2020-03-28,214,2,"NH",1359711
"647",2020-03-29,258,3,"NH",1359711
"648",2020-03-04,1,NA,"NJ",8882190
"649",2020-03-05,2,NA,"NJ",8882190
"650",2020-03-06,4,NA,"NJ",8882190
"651",2020-03-07,4,NA,"NJ",8882190
"652",2020-03-08,6,NA,"NJ",8882190
"653",2020-03-09,11,NA,"NJ",8882190
"654",2020-03-10,15,NA,"NJ",8882190
"655",2020-03-11,23,NA,"NJ",8882190
"656",2020-03-12,29,NA,"NJ",8882190
"657",2020-03-13,50,NA,"NJ",8882190
"658",2020-03-14,69,NA,"NJ",8882190
"659",2020-03-15,98,NA,"NJ",8882190
"660",2020-03-16,178,NA,"NJ",8882190
"661",2020-03-17,267,NA,"NJ",8882190
"662",2020-03-18,427,NA,"NJ",8882190
"663",2020-03-19,742,NA,"NJ",8882190
"664",2020-03-20,890,NA,"NJ",8882190
"665",2020-03-21,1327,NA,"NJ",8882190
"666",2020-03-22,1914,NA,"NJ",8882190
"667",2020-03-23,2844,NA,"NJ",8882190
"668",2020-03-24,3675,NA,"NJ",8882190
"669",2020-03-25,4402,NA,"NJ",8882190
"670",2020-03-26,6876,NA,"NJ",8882190
"671",2020-03-27,8825,NA,"NJ",8882190
"672",2020-03-28,11124,NA,"NJ",8882190
"673",2020-03-29,13386,NA,"NJ",8882190
"674",2020-03-30,16636,NA,"NJ",8882190
"675",2020-03-11,4,0,"NM",2096829
"676",2020-03-12,6,0,"NM",2096829
"677",2020-03-13,10,0,"NM",2096829
"678",2020-03-14,13,0,"NM",2096829
"679",2020-03-15,17,0,"NM",2096829
"680",2020-03-16,21,0,"NM",2096829
"681",2020-03-17,23,0,"NM",2096829
"682",2020-03-18,28,0,"NM",2096829
"683",2020-03-19,35,0,"NM",2096829
"684",2020-03-20,43,0,"NM",2096829
"685",2020-03-21,57,0,"NM",2096829
"686",2020-03-22,65,0,"NM",2096829
"687",2020-03-23,83,0,"NM",2096829
"688",2020-03-24,100,0,"NM",2096829
"689",2020-03-25,112,1,"NM",2096829
"690",2020-03-26,136,1,"NM",2096829
"691",2020-03-27,191,1,"NM",2096829
"692",2020-03-28,208,2,"NM",2096829
"693",2020-03-29,237,2,"NM",2096829
"694",2020-03-30,281,4,"NM",2096829
"695",2020-03-31,315,5,"NM",2096829
"696",2020-03-01,1,0,"NY",19453561
"697",2020-03-02,1,0,"NY",19453561
"698",2020-03-03,2,0,"NY",19453561
"699",2020-03-04,11,0,"NY",19453561
"700",2020-03-05,22,0,"NY",19453561
"701",2020-03-06,44,0,"NY",19453561
"702",2020-03-07,89,0,"NY",19453561
"703",2020-03-08,105,0,"NY",19453561
"704",2020-03-09,142,0,"NY",19453561
"705",2020-03-10,173,0,"NY",19453561
"706",2020-03-11,216,0,"NY",19453561
"707",2020-03-12,325,0,"NY",19453561
"708",2020-03-13,421,0,"NY",19453561
"709",2020-03-14,613,2,"NY",19453561
"710",2020-03-15,729,3,"NY",19453561
"711",2020-03-16,950,7,"NY",19453561
"712",2020-03-17,1374,12,"NY",19453561
"713",2020-03-18,2480,16,"NY",19453561
"714",2020-03-19,5711,38,"NY",19453561
"715",2020-03-20,8402,46,"NY",19453561
"716",2020-03-21,10356,58,"NY",19453561
"717",2020-03-22,15168,76,"NY",19453561
"718",2020-03-23,20875,157,"NY",19453561
"719",2020-03-24,25665,271,"NY",19453561
"720",2020-03-25,30811,285,"NY",19453561
"721",2020-03-26,37258,385,"NY",19453561
"722",2020-03-27,44635,519,"NY",19453561
"723",2020-03-28,52318,728,"NY",19453561
"724",2020-03-29,59513,965,"NY",19453561
"725",2020-03-30,66497,1218,"NY",19453561
"726",2020-03-31,75795,1550,"NY",19453561
"727",2020-03-08,2,NA,"NC",10488084
"728",2020-03-09,7,NA,"NC",10488084
"729",2020-03-10,7,NA,"NC",10488084
"730",2020-03-11,8,NA,"NC",10488084
"731",2020-03-12,15,NA,"NC",10488084
"732",2020-03-13,15,NA,"NC",10488084
"733",2020-03-14,23,NA,"NC",10488084
"734",2020-03-15,32,NA,"NC",10488084
"735",2020-03-16,33,NA,"NC",10488084
"736",2020-03-17,40,NA,"NC",10488084
"737",2020-03-18,63,NA,"NC",10488084
"738",2020-03-19,97,NA,"NC",10488084
"739",2020-03-20,137,NA,"NC",10488084
"740",2020-03-21,184,NA,"NC",10488084
"741",2020-03-22,255,NA,"NC",10488084
"742",2020-03-23,297,NA,"NC",10488084
"743",2020-03-24,398,NA,"NC",10488084
"744",2020-03-25,504,NA,"NC",10488084
"745",2020-03-26,636,NA,"NC",10488084
"746",2020-03-27,763,NA,"NC",10488084
"747",2020-03-28,935,NA,"NC",10488084
"748",2020-03-29,1167,NA,"NC",10488084
"749",2020-03-30,1307,NA,"NC",10488084
"750",2020-03-11,1,0,"ND",762062
"751",2020-03-12,1,0,"ND",762062
"752",2020-03-13,1,0,"ND",762062
"753",2020-03-14,1,0,"ND",762062
"754",2020-03-15,1,0,"ND",762062
"755",2020-03-16,1,0,"ND",762062
"756",2020-03-17,5,0,"ND",762062
"757",2020-03-18,7,0,"ND",762062
"758",2020-03-21,28,0,"ND",762062
"759",2020-03-22,30,0,"ND",762062
"760",2020-03-24,34,0,"ND",762062
"761",2020-03-25,45,0,"ND",762062
"762",2020-03-26,58,0,"ND",762062
"763",2020-03-27,68,1,"ND",762062
"764",2020-03-28,94,1,"ND",762062
"765",2020-03-29,98,1,"ND",762062
"766",2020-03-09,NA,0,"OH",11689100
"767",2020-03-11,NA,0,"OH",11689100
"768",2020-03-12,NA,0,"OH",11689100
"769",2020-03-13,NA,0,"OH",11689100
"770",2020-03-14,NA,0,"OH",11689100
"771",2020-03-15,NA,0,"OH",11689100
"772",2020-03-16,NA,0,"OH",11689100
"773",2020-03-17,NA,0,"OH",11689100
"774",2020-03-18,NA,0,"OH",11689100
"775",2020-03-19,NA,0,"OH",11689100
"776",2020-03-20,NA,1,"OH",11689100
"777",2020-03-21,NA,3,"OH",11689100
"778",2020-03-22,NA,3,"OH",11689100
"779",2020-03-23,NA,6,"OH",11689100
"780",2020-03-24,NA,8,"OH",11689100
"781",2020-03-25,NA,10,"OH",11689100
"782",2020-03-26,NA,15,"OH",11689100
"783",2020-03-27,NA,19,"OH",11689100
"784",2020-03-28,NA,25,"OH",11689100
"785",2020-03-29,NA,29,"OH",11689100
"786",2020-03-30,NA,39,"OH",11689100
"787",2020-03-31,NA,55,"OH",11689100
"788",2020-03-07,1,0,"OK",3956971
"789",2020-03-10,2,0,"OK",3956971
"790",2020-03-13,3,0,"OK",3956971
"791",2020-03-14,4,0,"OK",3956971
"792",2020-03-15,7,0,"OK",3956971
"793",2020-03-16,10,0,"OK",3956971
"794",2020-03-17,17,0,"OK",3956971
"795",2020-03-18,29,0,"OK",3956971
"796",2020-03-19,44,1,"OK",3956971
"797",2020-03-20,49,1,"OK",3956971
"798",2020-03-21,53,1,"OK",3956971
"799",2020-03-22,67,2,"OK",3956971
"800",2020-03-23,81,2,"OK",3956971
"801",2020-03-24,106,3,"OK",3956971
"802",2020-03-25,164,5,"OK",3956971
"803",2020-03-26,248,7,"OK",3956971
"804",2020-03-27,322,8,"OK",3956971
"805",2020-03-28,377,15,"OK",3956971
"806",2020-03-29,429,16,"OK",3956971
"807",2020-03-30,481,17,"OK",3956971
"808",2020-03-31,565,23,"OK",3956971
"809",2020-02-28,1,NA,"OR",4217737
"810",2020-02-29,1,NA,"OR",4217737
"811",2020-03-01,2,NA,"OR",4217737
"812",2020-03-02,3,NA,"OR",4217737
"813",2020-03-03,3,NA,"OR",4217737
"814",2020-03-04,3,NA,"OR",4217737
"815",2020-03-05,3,NA,"OR",4217737
"816",2020-03-06,3,NA,"OR",4217737
"817",2020-03-07,7,NA,"OR",4217737
"818",2020-03-08,14,NA,"OR",4217737
"819",2020-03-09,14,NA,"OR",4217737
"820",2020-03-10,15,NA,"OR",4217737
"821",2020-03-11,21,NA,"OR",4217737
"822",2020-03-12,22,NA,"OR",4217737
"823",2020-03-13,30,NA,"OR",4217737
"824",2020-03-14,36,NA,"OR",4217737
"825",2020-03-15,39,NA,"OR",4217737
"826",2020-03-16,47,NA,"OR",4217737
"827",2020-03-17,65,NA,"OR",4217737
"828",2020-03-18,75,NA,"OR",4217737
"829",2020-03-19,88,NA,"OR",4217737
"830",2020-03-20,114,NA,"OR",4217737
"831",2020-03-21,137,NA,"OR",4217737
"832",2020-03-22,161,NA,"OR",4217737
"833",2020-03-23,191,NA,"OR",4217737
"834",2020-03-24,209,NA,"OR",4217737
"835",2020-03-25,266,NA,"OR",4217737
"836",2020-03-26,316,NA,"OR",4217737
"837",2020-03-27,414,NA,"OR",4217737
"838",2020-03-28,479,NA,"OR",4217737
"839",2020-03-29,548,NA,"OR",4217737
"840",2020-03-30,606,NA,"OR",4217737
"841",2020-03-31,690,NA,"OR",4217737
"842",2020-03-06,2,0,"PA",12801989
"843",2020-03-07,4,0,"PA",12801989
"844",2020-03-08,6,0,"PA",12801989
"845",2020-03-09,10,0,"PA",12801989
"846",2020-03-10,12,0,"PA",12801989
"847",2020-03-11,16,0,"PA",12801989
"848",2020-03-12,22,0,"PA",12801989
"849",2020-03-13,41,0,"PA",12801989
"850",2020-03-14,47,0,"PA",12801989
"851",2020-03-15,63,0,"PA",12801989
"852",2020-03-16,76,0,"PA",12801989
"853",2020-03-17,96,0,"PA",12801989
"854",2020-03-18,133,1,"PA",12801989
"855",2020-03-19,185,1,"PA",12801989
"856",2020-03-20,268,1,"PA",12801989
"857",2020-03-21,371,2,"PA",12801989
"858",2020-03-22,479,3,"PA",12801989
"859",2020-03-23,644,6,"PA",12801989
"860",2020-03-24,851,7,"PA",12801989
"861",2020-03-25,1127,11,"PA",12801989
"862",2020-03-26,1687,16,"PA",12801989
"863",2020-03-27,2218,22,"PA",12801989
"864",2020-03-28,2751,34,"PA",12801989
"865",2020-03-29,3394,38,"PA",12801989
"866",2020-03-30,4087,48,"PA",12801989
"867",2020-03-31,4843,63,"PA",12801989
"868",2020-03-07,2,0,"RI",1059361
"869",2020-03-09,3,0,"RI",1059361
"870",2020-03-10,5,0,"RI",1059361
"871",2020-03-11,5,0,"RI",1059361
"872",2020-03-12,5,0,"RI",1059361
"873",2020-03-13,14,0,"RI",1059361
"874",2020-03-14,20,0,"RI",1059361
"875",2020-03-15,20,0,"RI",1059361
"876",2020-03-16,21,0,"RI",1059361
"877",2020-03-18,33,0,"RI",1059361
"878",2020-03-20,44,0,"RI",1059361
"879",2020-03-21,66,0,"RI",1059361
"880",2020-03-22,83,0,"RI",1059361
"881",2020-03-23,106,0,"RI",1059361
"882",2020-03-25,132,0,"RI",1059361
"883",2020-03-26,165,0,"RI",1059361
"884",2020-03-27,203,0,"RI",1059361
"885",2020-03-28,239,2,"RI",1059361
"886",2020-03-29,295,3,"RI",1059361
"887",2020-03-30,408,4,"RI",1059361
"888",2020-03-31,488,8,"RI",1059361
"889",2020-03-07,2,0,"SC",5148714
"890",2020-03-08,6,0,"SC",5148714
"891",2020-03-09,7,0,"SC",5148714
"892",2020-03-10,9,0,"SC",5148714
"893",2020-03-11,10,0,"SC",5148714
"894",2020-03-12,12,0,"SC",5148714
"895",2020-03-13,13,0,"SC",5148714
"896",2020-03-14,19,0,"SC",5148714
"897",2020-03-15,28,0,"SC",5148714
"898",2020-03-16,33,1,"SC",5148714
"899",2020-03-17,47,0,"SC",5148714
"900",2020-03-18,60,0,"SC",5148714
"901",2020-03-19,80,0,"SC",5148714
"902",2020-03-20,125,3,"SC",5148714
"903",2020-03-21,173,0,"SC",5148714
"904",2020-03-22,195,0,"SC",5148714
"905",2020-03-23,298,5,"SC",5148714
"906",2020-03-24,342,7,"SC",5148714
"907",2020-03-25,424,8,"SC",5148714
"908",2020-03-26,456,9,"SC",5148714
"909",2020-03-27,539,13,"SC",5148714
"910",2020-03-28,660,15,"SC",5148714
"911",2020-03-29,774,16,"SC",5148714
"912",2020-03-30,925,18,"SC",5148714
"913",2020-03-31,1083,22,"SC",5148714
"914",2020-03-10,5,0,"SD",884659
"915",2020-03-11,8,0,"SD",884659
"916",2020-03-13,9,0,"SD",884659
"917",2020-03-14,9,0,"SD",884659
"918",2020-03-15,9,0,"SD",884659
"919",2020-03-16,10,0,"SD",884659
"920",2020-03-17,11,0,"SD",884659
"921",2020-03-18,11,1,"SD",884659
"922",2020-03-19,14,1,"SD",884659
"923",2020-03-21,14,1,"SD",884659
"924",2020-03-22,21,1,"SD",884659
"925",2020-03-23,28,1,"SD",884659
"926",2020-03-24,30,1,"SD",884659
"927",2020-03-25,41,1,"SD",884659
"928",2020-03-26,46,1,"SD",884659
"929",2020-03-27,58,1,"SD",884659
"930",2020-03-28,68,1,"SD",884659
"931",2020-03-29,90,1,"SD",884659
"932",2020-03-08,3,0,"TN",6829174
"933",2020-03-09,4,0,"TN",6829174
"934",2020-03-10,7,0,"TN",6829174
"935",2020-03-11,9,0,"TN",6829174
"936",2020-03-12,18,0,"TN",6829174
"937",2020-03-13,26,0,"TN",6829174
"938",2020-03-14,32,0,"TN",6829174
"939",2020-03-15,39,0,"TN",6829174
"940",2020-03-16,52,0,"TN",6829174
"941",2020-03-17,73,0,"TN",6829174
"942",2020-03-18,98,0,"TN",6829174
"943",2020-03-19,154,0,"TN",6829174
"944",2020-03-20,228,0,"TN",6829174
"945",2020-03-21,371,0,"TN",6829174
"946",2020-03-22,505,0,"TN",6829174
"947",2020-03-23,615,0,"TN",6829174
"948",2020-03-24,667,2,"TN",6829174
"949",2020-03-25,784,3,"TN",6829174
"950",2020-03-26,957,3,"TN",6829174
"951",2020-03-27,1203,6,"TN",6829174
"952",2020-03-28,1373,6,"TN",6829174
"953",2020-03-29,1537,7,"TN",6829174
"954",2020-03-30,1834,13,"TN",6829174
"955",2020-03-07,8,0,"TX",28995881
"956",2020-03-09,12,0,"TX",28995881
"957",2020-03-10,13,0,"TX",28995881
"958",2020-03-11,21,0,"TX",28995881
"959",2020-03-12,23,0,"TX",28995881
"960",2020-03-13,39,0,"TX",28995881
"961",2020-03-14,51,0,"TX",28995881
"962",2020-03-15,56,0,"TX",28995881
"963",2020-03-16,57,0,"TX",28995881
"964",2020-03-17,64,1,"TX",28995881
"965",2020-03-18,83,2,"TX",28995881
"966",2020-03-19,143,3,"TX",28995881
"967",2020-03-20,194,5,"TX",28995881
"968",2020-03-21,304,5,"TX",28995881
"969",2020-03-22,334,5,"TX",28995881
"970",2020-03-23,352,8,"TX",28995881
"971",2020-03-24,715,11,"TX",28995881
"972",2020-03-25,974,12,"TX",28995881
"973",2020-03-26,1396,18,"TX",28995881
"974",2020-03-27,1731,23,"TX",28995881
"975",2020-03-28,2052,27,"TX",28995881
"976",2020-03-29,2552,34,"TX",28995881
"977",2020-03-30,2877,38,"TX",28995881
"978",2020-03-31,3266,41,"TX",28995881
"979",2020-03-06,1,NA,"UT",3205958
"980",2020-03-07,1,NA,"UT",3205958
"981",2020-03-08,1,NA,"UT",3205958
"982",2020-03-09,1,NA,"UT",3205958
"983",2020-03-10,2,NA,"UT",3205958
"984",2020-03-11,3,NA,"UT",3205958
"985",2020-03-12,5,NA,"UT",3205958
"986",2020-03-13,9,NA,"UT",3205958
"987",2020-03-14,10,NA,"UT",3205958
"988",2020-03-15,28,NA,"UT",3205958
"989",2020-03-16,39,NA,"UT",3205958
"990",2020-03-17,51,NA,"UT",3205958
"991",2020-03-18,63,NA,"UT",3205958
"992",2020-03-19,78,NA,"UT",3205958
"993",2020-03-20,112,NA,"UT",3205958
"994",2020-03-21,136,NA,"UT",3205958
"995",2020-03-22,181,NA,"UT",3205958
"996",2020-03-23,257,NA,"UT",3205958
"997",2020-03-24,298,NA,"UT",3205958
"998",2020-03-25,346,NA,"UT",3205958
"999",2020-03-26,402,NA,"UT",3205958
"1000",2020-03-27,480,NA,"UT",3205958
"1001",2020-03-28,602,NA,"UT",3205958
"1002",2020-03-29,719,NA,"UT",3205958
"1003",2020-03-30,806,NA,"UT",3205958
"1004",2020-03-31,887,NA,"UT",3205958
"1005",2020-03-07,1,0,"VT",623989
"1006",2020-03-08,1,0,"VT",623989
"1007",2020-03-09,1,0,"VT",623989
"1008",2020-03-10,1,0,"VT",623989
"1009",2020-03-11,1,0,"VT",623989
"1010",2020-03-12,2,0,"VT",623989
"1011",2020-03-13,2,0,"VT",623989
"1012",2020-03-14,4,0,"VT",623989
"1013",2020-03-15,8,0,"VT",623989
"1014",2020-03-16,12,0,"VT",623989
"1015",2020-03-17,17,0,"VT",623989
"1016",2020-03-18,19,0,"VT",623989
"1017",2020-03-19,22,2,"VT",623989
"1018",2020-03-20,29,2,"VT",623989
"1019",2020-03-21,49,2,"VT",623989
"1020",2020-03-22,52,2,"VT",623989
"1021",2020-03-23,75,5,"VT",623989
"1022",2020-03-24,95,7,"VT",623989
"1023",2020-03-25,123,8,"VT",623989
"1024",2020-03-26,158,9,"VT",623989
"1025",2020-03-27,184,10,"VT",623989
"1026",2020-03-28,211,12,"VT",623989
"1027",2020-03-29,235,12,"VT",623989
"1028",2020-03-30,256,12,"VT",623989
"1029",2020-03-31,293,13,"VT",623989
"1030",2020-03-07,1,0,"VA",8535519
"1031",2020-03-08,2,0,"VA",8535519
"1032",2020-03-09,5,0,"VA",8535519
"1033",2020-03-10,8,0,"VA",8535519
"1034",2020-03-11,10,0,"VA",8535519
"1035",2020-03-12,17,0,"VA",8535519
"1036",2020-03-13,30,0,"VA",8535519
"1037",2020-03-14,41,1,"VA",8535519
"1038",2020-03-15,45,1,"VA",8535519
"1039",2020-03-16,51,2,"VA",8535519
"1040",2020-03-17,67,2,"VA",8535519
"1041",2020-03-18,77,2,"VA",8535519
"1042",2020-03-19,94,2,"VA",8535519
"1043",2020-03-20,114,2,"VA",8535519
"1044",2020-03-21,152,2,"VA",8535519
"1045",2020-03-22,220,3,"VA",8535519
"1046",2020-03-23,254,6,"VA",8535519
"1047",2020-03-24,290,9,"VA",8535519
"1048",2020-03-25,391,9,"VA",8535519
"1049",2020-03-26,460,13,"VA",8535519
"1050",2020-03-27,615,15,"VA",8535519
"1051",2020-03-28,739,18,"VA",8535519
"1052",2020-03-29,890,22,"VA",8535519
"1053",2020-03-30,1020,25,"VA",8535519
"1054",2020-03-31,1250,27,"VA",8535519
"1055",2020-02-27,1,NA,"WA",7614893
"1056",2020-02-28,3,NA,"WA",7614893
"1057",2020-02-29,6,NA,"WA",7614893
"1058",2020-03-01,13,NA,"WA",7614893
"1059",2020-03-02,18,NA,"WA",7614893
"1060",2020-03-03,28,NA,"WA",7614893
"1061",2020-03-04,39,NA,"WA",7614893
"1062",2020-03-05,70,NA,"WA",7614893
"1063",2020-03-06,80,NA,"WA",7614893
"1064",2020-03-07,102,NA,"WA",7614893
"1065",2020-03-08,136,NA,"WA",7614893
"1066",2020-03-09,162,NA,"WA",7614893
"1067",2020-03-10,267,NA,"WA",7614893
"1068",2020-03-11,366,NA,"WA",7614893
"1069",2020-03-12,457,NA,"WA",7614893
"1070",2020-03-13,568,NA,"WA",7614893
"1071",2020-03-14,642,NA,"WA",7614893
"1072",2020-03-15,769,NA,"WA",7614893
"1073",2020-03-16,904,NA,"WA",7614893
"1074",2020-03-17,1012,NA,"WA",7614893
"1075",2020-03-18,1187,NA,"WA",7614893
"1076",2020-03-19,1376,NA,"WA",7614893
"1077",2020-03-20,1524,NA,"WA",7614893
"1078",2020-03-21,1793,NA,"WA",7614893
"1079",2020-03-22,1996,NA,"WA",7614893
"1080",2020-03-23,2221,NA,"WA",7614893
"1081",2020-03-24,2469,NA,"WA",7614893
"1082",2020-03-25,2580,NA,"WA",7614893
"1083",2020-03-26,3207,NA,"WA",7614893
"1084",2020-03-27,3723,NA,"WA",7614893
"1085",2020-03-28,4310,NA,"WA",7614893
"1086",2020-03-29,4896,NA,"WA",7614893
"1087",2020-03-07,1,NA,"Washington, D.C.",705749
"1088",2020-03-08,1,NA,"Washington, D.C.",705749
"1089",2020-03-09,5,NA,"Washington, D.C.",705749
"1090",2020-03-10,5,NA,"Washington, D.C.",705749
"1091",2020-03-11,10,NA,"Washington, D.C.",705749
"1092",2020-03-13,10,NA,"Washington, D.C.",705749
"1093",2020-03-14,16,NA,"Washington, D.C.",705749
"1094",2020-03-15,17,NA,"Washington, D.C.",705749
"1095",2020-03-16,22,NA,"Washington, D.C.",705749
"1096",2020-03-17,31,NA,"Washington, D.C.",705749
"1097",2020-03-18,39,NA,"Washington, D.C.",705749
"1098",2020-03-19,71,NA,"Washington, D.C.",705749
"1099",2020-03-21,98,NA,"Washington, D.C.",705749
"1100",2020-03-22,116,NA,"Washington, D.C.",705749
"1101",2020-03-23,137,NA,"Washington, D.C.",705749
"1102",2020-03-24,183,NA,"Washington, D.C.",705749
"1103",2020-03-25,231,NA,"Washington, D.C.",705749
"1104",2020-03-26,267,NA,"Washington, D.C.",705749
"1105",2020-03-27,304,NA,"Washington, D.C.",705749
"1106",2020-03-28,342,NA,"Washington, D.C.",705749
"1107",2020-03-28,401,NA,"Washington, D.C.",705749
"1108",2020-03-16,1,NA,"WV",1792147
"1109",2020-03-17,1,NA,"WV",1792147
"1110",2020-03-18,2,NA,"WV",1792147
"1111",2020-03-19,5,NA,"WV",1792147
"1112",2020-03-20,8,NA,"WV",1792147
"1113",2020-03-21,11,NA,"WV",1792147
"1114",2020-03-22,12,NA,"WV",1792147
"1115",2020-03-23,20,NA,"WV",1792147
"1116",2020-03-24,39,NA,"WV",1792147
"1117",2020-03-25,51,NA,"WV",1792147
"1118",2020-03-26,76,NA,"WV",1792147
"1119",2020-03-27,96,NA,"WV",1792147
"1120",2020-03-28,113,NA,"WV",1792147
"1121",2020-03-29,124,NA,"WV",1792147
"1122",2020-03-30,145,NA,"WV",1792147
"1123",2020-02-05,1,NA,"WI",5822434
"1124",2020-03-09,2,NA,"WI",5822434
"1125",2020-03-10,3,NA,"WI",5822434
"1126",2020-03-11,6,NA,"WI",5822434
"1127",2020-03-12,8,NA,"WI",5822434
"1128",2020-03-13,19,NA,"WI",5822434
"1129",2020-03-14,27,NA,"WI",5822434
"1130",2020-03-15,33,NA,"WI",5822434
"1131",2020-03-16,47,NA,"WI",5822434
"1132",2020-03-17,72,NA,"WI",5822434
"1133",2020-03-18,106,NA,"WI",5822434
"1134",2020-03-19,155,NA,"WI",5822434
"1135",2020-03-20,206,NA,"WI",5822434
"1136",2020-03-21,281,NA,"WI",5822434
"1137",2020-03-22,381,NA,"WI",5822434
"1138",2020-03-23,416,NA,"WI",5822434
"1139",2020-03-24,457,NA,"WI",5822434
"1140",2020-03-25,585,NA,"WI",5822434
"1141",2020-03-26,707,NA,"WI",5822434
"1142",2020-03-27,842,NA,"WI",5822434
"1143",2020-03-28,989,NA,"WI",5822434
"1144",2020-03-29,1112,NA,"WI",5822434
"1145",2020-03-30,1221,NA,"WI",5822434
"1146",2020-03-31,1351,NA,"WI",5822434
"1147",2020-03-11,1,0,"WY",578759
"1148",2020-03-13,2,0,"WY",578759
"1149",2020-03-14,3,0,"WY",578759
"1150",2020-03-16,10,0,"WY",578759
"1151",2020-03-17,11,0,"WY",578759
"1152",2020-03-18,18,0,"WY",578759
"1153",2020-03-19,18,0,"WY",578759
"1154",2020-03-20,20,0,"WY",578759
"1155",2020-03-21,23,0,"WY",578759
"1156",2020-03-22,26,0,"WY",578759
"1157",2020-03-23,28,0,"WY",578759
"1158",2020-03-24,33,0,"WY",578759
"1159",2020-03-25,49,0,"WY",578759
"1160",2020-03-26,56,0,"WY",578759
"1161",2020-03-27,70,0,"WY",578759
"1162",2020-03-28,84,0,"WY",578759
"1163",2020-03-30,94,0,"WY",578759
